,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
35,blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
39,blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
40,blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
41,blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
42,blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
43,blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
44,blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
45,blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
46,blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
47,blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
48,blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
49,blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
50,blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
51,blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
52,blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
53,blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
54,blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
55,blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
56,blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
57,blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
58,blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
59,blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
60,blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
61,blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
62,blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
63,blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
64,blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
65,blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
66,blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
67,blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
68,blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
69,blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
70,blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
71,blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
72,blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
73,blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
74,blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
75,blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
76,blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
77,blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,29,0.0,0.0,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,763,1433,7,4.972477064220183,
